2021-06-24 14:06:56 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:06:57 INFO  HepsiburadaPage:108 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:06:57 INFO  HepsiburadaPage:113 - Eklenen ürün favorilerden silindi.
2021-06-24 14:06:58 INFO  HepsiburadaPage:118 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:07:01 INFO  HepsiburadaPage:124 - Profilim penceresi açıldı.
2021-06-24 14:07:02 INFO  HepsiburadaPage:129 - Üye çıkış işlemi yapıldı.
2021-06-24 14:30:39 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:30:41 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:30:42 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:30:45 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:31:09 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:31:15 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:31:17 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:31:25 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:31:36 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:31:37 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:31:55 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:31:57 INFO  HepsiburadaPage:107 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:38:19 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:38:21 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:38:22 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:38:25 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:38:28 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:38:33 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:38:35 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:38:43 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:38:51 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:38:52 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:39:03 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:39:39 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:39:42 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:39:42 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:39:45 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:39:48 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:39:56 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:39:58 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:40:04 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:40:08 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:40:09 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:41:23 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:41:25 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:41:26 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:41:29 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:41:33 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:41:39 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:41:41 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:41:47 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:41:58 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:41:58 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:42:22 INFO  HepsiburadaPage:102 - Favori listem sayfası açıldı.
2021-06-24 14:42:23 INFO  HepsiburadaPage:107 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:42:23 INFO  HepsiburadaPage:117 - Eklenen ürün favorilerden silindi.
2021-06-24 14:42:24 INFO  HepsiburadaPage:122 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:42:28 INFO  HepsiburadaPage:128 - Profilim penceresi açıldı.
2021-06-24 14:42:28 INFO  HepsiburadaPage:133 - Üye çıkış işlemi yapıldı.
2021-06-24 14:43:34 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:43:37 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:43:37 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:43:41 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:43:59 INFO  HepsiburadaPage:61 - Elektronik menüsüne tıklandı.
2021-06-24 14:44:05 INFO  HepsiburadaPage:67 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:44:07 INFO  HepsiburadaPage:74 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:44:15 INFO  HepsiburadaPage:78 - İkinci sayfa açıldı.
2021-06-24 14:44:23 INFO  HepsiburadaPage:85 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:44:24 INFO  HepsiburadaPage:92 - İkinci ürün favorilere eklendi.
2021-06-24 14:44:52 INFO  HepsiburadaPage:104 - Favori listem sayfası açıldı.
2021-06-24 14:44:54 INFO  HepsiburadaPage:109 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:44:55 INFO  HepsiburadaPage:119 - Eklenen ürün favorilerden silindi.
2021-06-24 14:44:55 INFO  HepsiburadaPage:124 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:44:59 INFO  HepsiburadaPage:130 - Profilim penceresi açıldı.
2021-06-24 14:45:01 INFO  HepsiburadaPage:135 - Üye çıkış işlemi yapıldı.
2021-06-24 14:45:47 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:45:50 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:45:51 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:45:54 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:47:36 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 14:47:43 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:47:46 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:47:53 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 14:48:02 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:48:02 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 14:49:38 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 14:49:40 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:49:40 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 14:49:40 INFO  HepsiburadaPage:125 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:49:44 INFO  HepsiburadaPage:131 - Profilim penceresi açıldı.
2021-06-24 14:49:45 INFO  HepsiburadaPage:136 - Üye çıkış işlemi yapıldı.
2021-06-24 14:56:54 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 14:56:56 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 14:56:56 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 14:57:00 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 14:57:14 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 14:57:21 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 14:57:23 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 14:57:30 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 14:57:39 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 14:57:39 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 14:58:38 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 14:58:39 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 14:58:39 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 14:58:39 INFO  HepsiburadaPage:125 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 14:58:44 INFO  HepsiburadaPage:131 - Profilim penceresi açıldı.
2021-06-24 14:58:44 INFO  HepsiburadaPage:136 - Üye çıkış işlemi yapıldı.
